"","IDs","nTrial","Conds","Sat","Tdata.perc","Tdata.duration"
"455","AJ",5,"R_H",0.9,0,256000
"456","AJ",5,"R_H",0.9,2,4824368
"457","AJ",5,"R_H",0.9,0,208000
"458","AJ",5,"R_H",0.9,3,1992112
"459","AJ",5,"R_H",0.9,0,295984
"460","AJ",5,"R_H",0.9,1,1776112
"461","AJ",5,"R_H",0.9,0,312000
"462","AJ",5,"R_H",0.9,3,2368144
"463","AJ",5,"R_H",0.9,0,279984
"464","AJ",5,"R_H",0.9,2,2744176
"465","AJ",5,"R_H",0.9,0,247984
"466","AJ",5,"R_H",0.9,3,1512096
"467","AJ",5,"R_H",0.9,0,223984
"468","AJ",5,"R_H",0.9,1,4320320
"469","AJ",5,"R_H",0.9,0,207984
"470","AJ",5,"R_H",0.9,3,984032
"471","AJ",5,"R_H",0.9,0,152000
"472","AJ",5,"R_H",0.9,2,2120128
"473","AJ",5,"R_H",0.9,0,199984
"474","AJ",5,"R_H",0.9,3,735984
"475","AJ",5,"R_H",0.9,0,2e+05
"476","AJ",5,"R_H",0.9,2,856032
"477","AJ",5,"R_H",0.9,0,392032
"478","AJ",5,"R_H",0.9,3,1264048
"479","AJ",5,"R_H",0.9,0,160000
"480","AJ",5,"R_H",0.9,2,1696096
"481","AJ",5,"R_H",0.9,0,288000
"482","AJ",5,"R_H",0.9,4,1584096
"483","AJ",5,"R_H",0.9,0,272000
"484","AJ",5,"R_H",0.9,3,1464080
"485","AJ",5,"R_H",0.9,0,239968
"486","AJ",5,"R_H",0.9,1,1120032
"487","AJ",5,"R_H",0.9,0,264000
"488","AJ",5,"R_H",0.9,3,583984
"489","AJ",5,"R_H",0.9,0,168000
"490","AJ",5,"R_H",0.9,2,2944208
"491","AJ",5,"R_H",0.9,0,600016
"492","AJ",5,"R_H",0.9,1,4760368
"493","AJ",5,"R_H",0.9,0,199968
"494","AJ",5,"R_H",0.9,4,1336080
"495","AJ",5,"R_H",0.9,0,215984
"496","AJ",5,"R_H",0.9,3,1512080
"497","AJ",5,"R_H",0.9,0,175968
"498","AJ",5,"R_H",0.9,2,1104064
"499","AJ",5,"R_H",0.9,0,304000
"500","AJ",5,"R_H",0.9,3,1384048
"501","AJ",5,"R_H",0.9,0,208016
"502","AJ",5,"R_H",0.9,2,3048208
"503","AJ",5,"R_H",0.9,0,616016
"504","AJ",5,"R_H",0.9,1,3904288
"505","AJ",5,"R_H",0.9,0,231984
"506","AJ",5,"R_H",0.9,3,936048
"507","AJ",5,"R_H",0.9,0,192000
"508","AJ",5,"R_H",0.9,2,1496080
"509","AJ",5,"R_H",0.9,0,111968
"510","AJ",5,"R_H",0.9,2,431984
"511","AJ",5,"R_H",0.9,0,248000
"512","AJ",5,"R_H",0.9,3,1368080
"513","AJ",5,"R_H",0.9,0,167968
"514","AJ",5,"R_H",0.9,2,2096144
"515","AJ",5,"R_H",0.9,0,327984
"516","AJ",5,"R_H",0.9,3,992048
"517","AJ",5,"R_H",0.9,0,216000
"518","AJ",5,"R_H",0.9,1,1952112
"519","AJ",5,"R_H",0.9,0,208000
"520","AJ",5,"R_H",0.9,3,736000
"521","AJ",5,"R_H",0.9,0,176000
"522","AJ",5,"R_H",0.9,2,1448048
"523","AJ",5,"R_H",0.9,0,287984
"524","AJ",5,"R_H",0.9,3,1024032
"525","AJ",5,"R_H",0.9,0,512016
"526","AJ",5,"R_H",0.9,3,1056032
"527","AJ",5,"R_H",0.9,0,55984
"528","AJ",5,"R_H",0.9,4,2312160
"529","AJ",5,"R_H",0.9,0,135984
"530","AJ",5,"R_H",0.9,3,2336144
"531","AJ",5,"R_H",0.9,0,175984
"532","AJ",5,"R_H",0.9,2,1968112
"533","AJ",5,"R_H",0.9,0,319984
"534","AJ",5,"R_H",0.9,1,1624112
"535","AJ",5,"R_H",0.9,0,167984
"536","AJ",5,"R_H",0.9,3,568000
"537","AJ",5,"R_H",0.9,0,159968
"538","AJ",5,"R_H",0.9,2,2952224
"539","AJ",5,"R_H",0.9,0,455984
"540","AJ",5,"R_H",0.9,3,2328160
"541","AJ",5,"R_H",0.9,0,528032
"542","AJ",5,"R_H",0.9,4,1560080
"543","AJ",5,"R_H",0.9,0,256000
"544","AJ",5,"R_H",0.9,3,1312048
"545","AJ",5,"R_H",0.9,0,232000
"546","AJ",5,"R_H",0.9,2,1616064
"547","AJ",5,"R_H",0.9,0,231984
"548","AJ",5,"R_H",0.9,3,1192064
"549","AJ",5,"R_H",0.9,0,168000
"550","AJ",5,"R_H",0.9,1,3048208
"551","AJ",5,"R_H",0.9,0,280016
"552","AJ",5,"R_H",0.9,3,551984
"553","AJ",5,"R_H",0.9,0,144000
"554","AJ",5,"R_H",0.9,2,2680176
"555","AJ",5,"R_H",0.9,0,248000
"556","AJ",5,"R_H",0.9,3,1712096
"557","AJ",5,"R_H",0.9,0,159968
"558","AJ",5,"R_H",0.9,2,1680112
"559","AJ",5,"R_H",0.9,0,288000
"560","AJ",5,"R_H",0.9,1,1496080
"561","AJ",5,"R_H",0.9,0,592000
"562","AJ",5,"R_H",0.9,1,1168080
"563","AJ",5,"R_H",0.9,0,207984
"564","AJ",5,"R_H",0.9,2,2168128
"565","AJ",5,"R_H",0.9,0,175984
"566","AJ",5,"R_H",0.9,3,1280064
"567","AJ",5,"R_H",0.9,0,151968
"568","AJ",5,"R_H",0.9,1,1344080
"569","AJ",5,"R_H",0.9,0,55984
"570","AJ",5,"R_H",0.9,4,3528256
"571","AJ",5,"R_H",0.9,0,151952
